"Parameter","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"diff[1]",-0.0529351764560476,0.367009361024507,0.000670064352828934,0.00275422740644397,-0.776857729010556,-0.29797316886747,-0.0512230988320083,0.191856757687844,0.664265098796924
"diff[2]",-0.476235818646326,0.353366584616261,0.000645156164876281,0.00322310471638935,-1.1740844487579,-0.711319628589702,-0.476816927525608,-0.240627859132629,0.218831707469929
"diff[3]",-0.0259851279196855,0.347457565063622,0.000634367820537216,0.00315921406217506,-0.71171111514359,-0.257955737691117,-0.0241097992083421,0.205756603585229,0.654661750919727
"diff[4]",-0.145195275515467,0.359058961632243,0.000655548975867872,0.00286002051362927,-0.854818716460065,-0.384383403520694,-0.144945934686612,0.0938567623555522,0.559640058256091
"p[1]",0,0,0,0,0,0,0,0,0
"p[2]",0,0,0,0,0,0,0,0,0
"p[3]",0,0,0,0,0,0,0,0,0
"p[4]",0,0,0,0,0,0,0,0,0
"p_patient[1,1]",0,0,0,0,0,0,0,0,0
"p_patient[1,2]",0,0,0,0,0,0,0,0,0
"p_patient[1,3]",0,0,0,0,0,0,0,0,0
"p_patient[1,4]",0,0,0,0,0,0,0,0,0
"p_patient[10,1]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.3333333333336e-06,0,0,0,0,0
"p_patient[10,2]",0,0,0,0,0,0,0,0,0
"p_patient[10,3]",0,0,0,0,0,0,0,0,0
"p_patient[10,4]",6.66666666666668e-06,0.00258198459413885,4.71403735113557e-06,4.71402163739265e-06,0,0,0,0,0
"p_patient[11,1]",0.000146666666666667,0.0121097334559589,2.21092472640123e-05,2.21093192869238e-05,0,0,0,0,0
"p_patient[11,2]",6.33333333333333e-05,0.00795798550643733,1.45292272472497e-05,1.45292119493334e-05,0,0,0,0,0
"p_patient[11,3]",4.33333333333333e-05,0.00658267422817066,1.20182638782566e-05,1.20182823672052e-05,0,0,0,0,0
"p_patient[11,4]",2e-05,0.00447209868692045,8.16489776738521e-06,8.1649113754495e-06,0,0,0,0,0
"p_patient[12,1]",0,0,0,0,0,0,0,0,0
"p_patient[12,2]",9.33333333333334e-05,0.00966048307825927,1.76375483278651e-05,1.83098953858467e-05,0,0,0,0,0
"p_patient[12,3]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333457e-06,0,0,0,0,0
"p_patient[12,4]",2.66666666666667e-05,0.00516391754798334,9.42798042042414e-06,9.42800791885156e-06,0,0,0,0,0
"p_patient[13,1]",9.99999999999999e-06,0.00316226711919014,5.77348344679107e-06,5.7735026918979e-06,0,0,0,0,0
"p_patient[13,2]",0,0,0,0,0,0,0,0,0
"p_patient[13,3]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333394e-06,0,0,0,0,0
"p_patient[13,4]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333438e-06,0,0,0,0,0
"p_patient[14,1]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333365e-06,0,0,0,0,0
"p_patient[14,2]",0,0,0,0,0,0,0,0,0
"p_patient[14,3]",0,0,0,0,0,0,0,0,0
"p_patient[14,4]",0,0,0,0,0,0,0,0,0
"p_patient[15,1]",0.00139333333333333,0.0373014288405177,6.81027800104177e-05,7.90542993205954e-05,0,0,0,0,0
"p_patient[15,2]",0.00135666666666667,0.0368080241024202,6.72019503269647e-05,8.25147583834825e-05,0,0,0,0,0
"p_patient[15,3]",0.000143333333333333,0.0119713519119512,2.18565982866942e-05,2.29090593129176e-05,0,0,0,0,0
"p_patient[15,4]",0.000153333333333333,0.0123818550006316,2.26060709586803e-05,2.45438893192636e-05,0,0,0,0,0
"p_patient[16,1]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333347e-06,0,0,0,0,0
"p_patient[16,2]",0,0,0,0,0,0,0,0,0
"p_patient[16,3]",0,0,0,0,0,0,0,0,0
"p_patient[16,4]",0,0,0,0,0,0,0,0,0
"p_patient[17,1]",3e-05,0.00547715254464701,9.9998666653333e-06,9.9998666644518e-06,0,0,0,0,0
"p_patient[17,2]",2.66666666666667e-05,0.00516391754798334,9.42798042042414e-06,9.42796077740049e-06,0,0,0,0,0
"p_patient[17,3]",0,0,0,0,0,0,0,0,0
"p_patient[17,4]",0,0,0,0,0,0,0,0,0
"p_patient[18,1]",0,0,0,0,0,0,0,0,0
"p_patient[18,2]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333373e-06,0,0,0,0,0
"p_patient[18,3]",0,0,0,0,0,0,0,0,0
"p_patient[18,4]",0,0,0,0,0,0,0,0,0
"p_patient[19,1]",9.99999999999999e-06,0.00316226711919014,5.77348344679106e-06,5.77350269189704e-06,0,0,0,0,0
"p_patient[19,2]",9.99999999999999e-06,0.00316226711919014,5.77348344679106e-06,5.7734834466642e-06,0,0,0,0,0
"p_patient[19,3]",1.33333333333333e-05,0.00365146545917602,6.66663333313888e-06,6.66663333292157e-06,0,0,0,0,0
"p_patient[19,4]",3.33333333333334e-06,0.00182574185835055,3.33333333333333e-06,3.33333333333362e-06,0,0,0,0,0
"p_patient[2,1]",1.33333333333333e-05,0.00365146545917602,6.66663333313888e-06,6.66664999981585e-06,0,0,0,0,0
"p_patient[2,2]",0,0,0,0,0,0,0,0,0
"p_patient[2,3]",0,0,0,0,0,0,0,0,0
"p_patient[2,4]",0,0,0,0,0,0,0,0,0
"p_patient[20,1]",1.33333333333333e-05,0.00365146545917602,6.66663333313888e-06,6.66664999981549e-06,0,0,0,0,0
"p_patient[20,2]",3.33333333333333e-05,0.00577341608841767,1.05407674182987e-05,1.05407884996074e-05,0,0,0,0,0
"p_patient[20,3]",3.99999999999999e-05,0.00632443936870648,1.15467936860476e-05,1.40921249689218e-05,0,0,0,0,0
"p_patient[20,4]",1e-04,0.00999951665337435,1.8256536117339e-05,1.88631900035158e-05,0,0,0,0,0
"p_patient[3,1]",0,0,0,0,0,0,0,0,0
"p_patient[3,2]",0,0,0,0,0,0,0,0,0
"p_patient[3,3]",0,0,0,0,0,0,0,0,0
"p_patient[3,4]",5.33333333333333e-05,0.00730278485632555,1.33329999947221e-05,1.5379435023096e-05,0,0,0,0,0
"p_patient[4,1]",2e-05,0.00447209868692045,8.16489776738521e-06,8.1649113754528e-06,0,0,0,0,0
"p_patient[4,2]",0,0,0,0,0,0,0,0,0
"p_patient[4,3]",9.99999999999999e-06,0.00316226711919014,5.77348344679106e-06,5.77348344666638e-06,0,0,0,0,0
"p_patient[4,4]",2.66666666666667e-05,0.00516391754798334,9.42798042042414e-06,9.42799613350919e-06,0,0,0,0,0
"p_patient[5,1]",0,0,0,0,0,0,0,0,0
"p_patient[5,2]",3e-05,0.00547715254464702,9.99986666533331e-06,9.99988888716542e-06,0,0,0,0,0
"p_patient[5,3]",0,0,0,0,0,0,0,0,0
"p_patient[5,4]",0,0,0,0,0,0,0,0,0
"p_patient[6,1]",2.33333333333333e-05,0.00483041061040478,8.81908284443665e-06,8.81910804195257e-06,0,0,0,0,0
"p_patient[6,2]",3.66666666666667e-05,0.00605519978533907,1.10552317087688e-05,1.10551747537405e-05,0,0,0,0,0
"p_patient[6,3]",0,0,0,0,0,0,0,0,0
"p_patient[6,4]",4.33333333333333e-05,0.00658267422817066,1.20182638782566e-05,1.20182823672009e-05,0,0,0,0,0
"p_patient[7,1]",4.33333333333333e-05,0.00658267422817066,1.20182638782566e-05,1.20181899141765e-05,0,0,0,0,0
"p_patient[7,2]",0.000136666666666667,0.0116896725524586,2.13423244894352e-05,2.13422272974806e-05,0,0,0,0,0
"p_patient[7,3]",5e-05,0.00707090281780827,1.29096432508014e-05,1.37092580342923e-05,0,0,0,0,0
"p_patient[7,4]",3e-05,0.00547715254464701,9.99986666533331e-06,9.9998888871646e-06,0,0,0,0,0
"p_patient[8,1]",2e-05,0.00447209868692044,8.1648977673852e-06,8.1649113754487e-06,0,0,0,0,0
"p_patient[8,2]",2.33333333333333e-05,0.00483041061040478,8.81908284443666e-06,8.81908284384957e-06,0,0,0,0,0
"p_patient[8,3]",4.66666666666667e-05,0.00683115249703179,1.24719210546068e-05,1.35285064809682e-05,0,0,0,0,0
"p_patient[8,4]",0.000233333333333333,0.0152734955556277,2.78854601592406e-05,2.8571630865824e-05,0,0,0,0,0
"p_patient[9,1]",0,0,0,0,0,0,0,0,0
"p_patient[9,2]",9.99999999999999e-06,0.00316226711919014,5.77348344679106e-06,5.77348344666621e-06,0,0,0,0,0
"p_patient[9,3]",0,0,0,0,0,0,0,0,0
"p_patient[9,4]",0,0,0,0,0,0,0,0,0
