"Parameter","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"diff[1]",0.871437469460934,0.442913205258474,0.000808645178456606,0.00363894759291412,-0.000972145399943964,0.577362322783992,0.871293219327779,1.16644967065844,1.74055596773257
"diff[2]",0.673313672220427,0.438801575762978,0.00080113840438065,0.00381140771079316,-0.190611449815535,0.380858716618366,0.67391190584164,0.967003957371254,1.53452714696143
"diff[3]",0.518848709726308,0.428704234022883,0.000782703264907689,0.00421053979811962,-0.324869720491076,0.233802819897426,0.519970470902611,0.805183053664907,1.35773802545351
"diff[4]",0.872371242432731,0.479816060266777,0.000876020265537907,0.00298962268371112,-0.0740793030491396,0.554228543786137,0.872995567395448,1.19077950876904,1.81713860004331
"p[1]",0.974866666666667,0.156530286402741,0.000285783895985085,0.000666762288683922,0,1,1,1,1
"p[2]",0.937733333333333,0.241639656350734,0.000441171635236978,0.00138863713763663,0,1,1,1,1
"p[3]",0.8874,0.316103737832867,0.000577123825742536,0.00232550169983351,0,1,1,1,1
"p[4]",0.965366666666667,0.18284960213833,0.000333836172406694,0.00066095177578568,0,1,1,1,1
"p_patient[1,1]",0.868633333333333,0.337801488927607,0.000616738318148274,0.00123646798591368,0,1,1,1,1
"p_patient[1,2]",0.856313333333333,0.350772317360256,0.000640419702555245,0.00139748809690317,0,1,1,1,1
"p_patient[1,3]",0.671496666666667,0.469669701621239,0.000857495633848912,0.00303526547330786,0,0,1,1,1
"p_patient[1,4]",0.822806666666667,0.381832871742811,0.000697128256835048,0.00115240014554951,0,1,1,1,1
"p_patient[10,1]",0.97739,0.148656858445455,0.000271409048994759,0.00052046446137002,1,1,1,1,1
"p_patient[10,2]",0.8211,0.383269199976899,0.000699750621414354,0.00194153046493958,0,1,1,1,1
"p_patient[10,3]",0.8723,0.333756020635241,0.00060935233735027,0.00172451692373827,0,1,1,1,1
"p_patient[10,4]",0.93473,0.247002085956309,0.000450962047430336,0.00064751696604869,0,1,1,1,1
"p_patient[11,1]",0.929653333333333,0.255730778651415,0.000466898387052469,0.000837078345713633,0,1,1,1,1
"p_patient[11,2]",0.85219,0.354912135289021,0.000647977941433741,0.00167728451754599,0,1,1,1,1
"p_patient[11,3]",0.83624,0.370058264165338,0.000675630862915205,0.00191623530152516,0,1,1,1,1
"p_patient[11,4]",0.758433333333333,0.428033670324697,0.000781478988695221,0.00170958203962906,0,1,1,1,1
"p_patient[12,1]",0.480066666666667,0.499603336892249,0.000912146724735792,0.00400321065456895,0,0,0,1,1
"p_patient[12,2]",0.730043333333333,0.443937745325431,0.000810515724142408,0.00320155415179255,0,0,1,1,1
"p_patient[12,3]",0.552976666666667,0.497186380314142,0.000907733985941327,0.0038325736160808,0,0,1,1,1
"p_patient[12,4]",0.568996666666667,0.495217404234222,0.000904139143894125,0.00287893746604574,0,0,1,1,1
"p_patient[13,1]",0.87153,0.334612958983123,0.000610916885562024,0.00157738159497836,0,1,1,1,1
"p_patient[13,2]",0.895663333333333,0.305697298251636,0.000558124353402685,0.00130973992343854,0,1,1,1,1
"p_patient[13,3]",0.893903333333333,0.307961816015919,0.000562258778273915,0.00162392079050365,0,1,1,1,1
"p_patient[13,4]",0.882836666666667,0.321615347027564,0.000587186601356163,0.00103071304905187,0,1,1,1,1
"p_patient[14,1]",0.81242,0.39037706333856,0.000712727745077175,0.00171791923986881,0,1,1,1,1
"p_patient[14,2]",0.577563333333333,0.493948117320734,0.000901821753645914,0.00351732814670918,0,0,1,1,1
"p_patient[14,3]",0.670283333333333,0.470110968889225,0.000858301273970792,0.00275401689190592,0,0,1,1,1
"p_patient[14,4]",0.493713333333333,0.49996130952964,0.000912800290364021,0.00272094480799799,0,0,0,1,1
"p_patient[15,1]",0.84118,0.365508759022511,0.000667324640941165,0.00146364471741364,0,1,1,1,1
"p_patient[15,2]",0.889623333333333,0.313359195549623,0.000572113000014003,0.00146055281353254,0,1,1,1,1
"p_patient[15,3]",0.758933333333333,0.427731386194674,0.000780927095905923,0.00223649742192058,0,1,1,1,1
"p_patient[15,4]",0.917276666666667,0.275464038288745,0.000502926225174042,0.000815747095526331,0,1,1,1,1
"p_patient[16,1]",0.892296666666667,0.31000588005344,0.000565990711548367,0.00113858366784489,0,1,1,1,1
"p_patient[16,2]",0.798976666666667,0.400766126521669,0.000731695492599625,0.00173907692460276,0,1,1,1,1
"p_patient[16,3]",0.75955,0.427357468966384,0.000780244419570676,0.00224725797968073,0,1,1,1,1
"p_patient[16,4]",0.957336666666667,0.202097277236946,0.00036897745851017,0.000654854325863459,0,1,1,1,1
"p_patient[17,1]",0.8546,0.352504261247314,0.000643581785006159,0.00164397209660069,0,1,1,1,1
"p_patient[17,2]",0.919963333333333,0.271350408314359,0.000495415798740039,0.00105382846197084,0,1,1,1,1
"p_patient[17,3]",0.88651,0.317191354339696,0.000579109532724886,0.0016087769252918,0,1,1,1,1
"p_patient[17,4]",0.969566666666667,0.171776726924911,0.000313619960637262,0.000437684112804272,0,1,1,1,1
"p_patient[18,1]",0.77923,0.414766416838765,0.000757256408660608,0.0019778640380588,0,1,1,1,1
"p_patient[18,2]",0.82222,0.382328077505689,0.000698032374724831,0.00178103299289299,0,1,1,1,1
"p_patient[18,3]",0.76391,0.424678835208102,0.000775353925794989,0.00241175719825522,0,1,1,1,1
"p_patient[18,4]",0.865036666666667,0.341684973551602,0.000623828558582562,0.00113220972483242,0,1,1,1,1
"p_patient[19,1]",0.91364,0.280895378045596,0.000512842449515047,0.000913660679128199,0,1,1,1,1
"p_patient[19,2]",0.9007,0.29906488950175,0.000546015287126327,0.00112004148006676,0,1,1,1,1
"p_patient[19,3]",0.78393,0.411563263319746,0.000751408277202212,0.00218105703269953,0,1,1,1,1
"p_patient[19,4]",0.845286666666667,0.361631793053931,0.000660246301888926,0.00106821649780703,0,1,1,1,1
"p_patient[2,1]",0.86958,0.336765499475039,0.00061484686883991,0.00122877144658659,0,1,1,1,1
"p_patient[2,2]",0.764413333333333,0.424365631788029,0.000774782097200784,0.00214277638102996,0,1,1,1,1
"p_patient[2,3]",0.7243,0.446867067072434,0.000815863909472487,0.00254270103815816,0,0,1,1,1
"p_patient[2,4]",0.90679,0.290726981273827,0.000530792419063524,0.000771918977897112,0,1,1,1,1
"p_patient[20,1]",0.869766666666667,0.336560529175444,0.000614472645984221,0.00125319252255386,0,1,1,1,1
"p_patient[20,2]",0.79875,0.400935123592223,0.000732004037625274,0.00181033694530498,0,1,1,1,1
"p_patient[20,3]",0.835123333333333,0.371069818809871,0.000677477700571737,0.00195019722819332,0,1,1,1,1
"p_patient[20,4]",0.953313333333333,0.210967225367961,0.000385171694094362,0.000589432125659157,0,1,1,1,1
"p_patient[3,1]",0.668456666666667,0.470768616412765,0.000859501968582561,0.00285250694166298,0,0,1,1,1
"p_patient[3,2]",0.650883333333333,0.476691700339062,0.000870315990837325,0.00286873080602506,0,0,1,1,1
"p_patient[3,3]",0.63638,0.481041855702345,0.000878258251574398,0.00317898400888148,0,0,1,1,1
"p_patient[3,4]",0.368233333333333,0.482325948935599,0.000880602674340374,0.00316587914398777,0,0,0,1,1
"p_patient[4,1]",0.744783333333333,0.435983661767349,0.0007959936208456,0.00234223682034834,0,0,1,1,1
"p_patient[4,2]",0.751313333333333,0.432252508721842,0.000789181498550505,0.00244911130470616,0,1,1,1,1
"p_patient[4,3]",0.584556666666667,0.492799127054308,0.000899723994021662,0.00333456137063279,0,0,1,1,1
"p_patient[4,4]",0.91201,0.283280827790065,0.000517197664964517,0.00126998188548983,0,1,1,1,1
"p_patient[5,1]",0.928133333333333,0.258267441287372,0.00047152967820745,0.00119204175087901,0,1,1,1,1
"p_patient[5,2]",0.794306666666667,0.40420802882838,0.00073797951771334,0.00183394981487905,0,1,1,1,1
"p_patient[5,3]",0.72009,0.448955525381093,0.000819676895226025,0.002536864909243,0,0,1,1,1
"p_patient[5,4]",0.866,0.3406528831738,0.000621944227978208,0.00111112655644032,0,1,1,1,1
"p_patient[6,1]",0.96266,0.189593892885506,0.0003461495063287,0.000626643222235549,0,1,1,1,1
"p_patient[6,2]",0.800696666666667,0.399477216616556,0.000729342275834217,0.00263511570718274,0,1,1,1,1
"p_patient[6,3]",0.908303333333333,0.288597757471839,0.000526905006042437,0.00156807606138398,0,1,1,1,1
"p_patient[6,4]",0.80242,0.398174173039354,0.000726963254632066,0.00175449234411908,0,1,1,1,1
"p_patient[7,1]",0.74199,0.437540258762848,0.000798835565136864,0.00231155934197508,0,0,1,1,1
"p_patient[7,2]",0.61463,0.486683421369417,0.000888558294159406,0.00317335361383871,0,0,1,1,1
"p_patient[7,3]",0.615863333333333,0.486391279297999,0.000888024918151032,0.00302755069609828,0,0,1,1,1
"p_patient[7,4]",0.428946666666667,0.494926499926696,0.0009036080277231,0.0030351121353206,0,0,0,1,1
"p_patient[8,1]",0.930946666666667,0.253545232202931,0.000462908143418102,0.0007879613820312,0,1,1,1,1
"p_patient[8,2]",0.879856666666667,0.325129612851715,0.000593602743572687,0.00127559550402155,0,1,1,1,1
"p_patient[8,3]",0.876626666666667,0.328865800083566,0.000600424056992512,0.00166877600770422,0,1,1,1,1
"p_patient[8,4]",0.730873333333333,0.443506662425817,0.000809728678048162,0.0017727245757878,0,0,1,1,1
"p_patient[9,1]",0.813483333333333,0.389523690530594,0.000711169706620893,0.00168998443113276,0,1,1,1,1
"p_patient[9,2]",0.730006666666667,0.443956743704673,0.000810550410278631,0.00227080593998926,0,0,1,1,1
"p_patient[9,3]",0.69711,0.459508815723745,0.000838944479147933,0.00260047869097639,0,0,1,1,1
"p_patient[9,4]",0.636376666666667,0.481042800725129,0.000878259976942053,0.00210138801092414,0,0,1,1,1
