"Parameter","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"diff[1]",-0.0315132472454874,0.0775587144693798,0.000141602191486606,0.000222910895963744,-0.18493871583377,-0.0825787240734136,-0.0312789996884787,0.0196043709050504,0.121754681302583
"diff[2]",0.104966033051672,0.0689543663350711,0.000125892872933978,0.000306308244831295,-0.0316564966788084,0.05969988251332,0.105149037474553,0.150394512997033,0.24067636306281
"diff[3]",0.0462410408453251,0.0754847222458017,0.000137815617070125,0.000231791573132879,-0.102734609134454,-0.00376452087899926,0.0462737906220654,0.0962206055974564,0.195014778314868
"diff[4]",0.0248690076894726,0.0678457576694172,0.000123868839688563,0.00035486290439346,-0.109026578216063,-0.0199255266224518,0.0249485359290396,0.0697964894778798,0.158191422708858
"p[1]",0.339173333333333,0.473429541122356,0.000864360130206779,0.00122728455950332,0,0,0,1,1
"p[2]",0.936556666666667,0.243759050807291,0.000445041102410671,0.000729903383795119,0,1,1,1,1
"p[3]",0.73336,0.442203304162848,0.000807349082311033,0.00119991130633562,0,0,1,1,1
"p[4]",0.646243333333333,0.478135597399999,0.000872952174140626,0.00215920594959983,0,0,1,1,1
"p_patient[1,1]",0.38201,0.48587976581711,0.000887091026577862,0.00100376752831322,0,0,0,1,1
"p_patient[1,2]",0.627483333333333,0.483475727296437,0.000882701872821582,0.00118616257936516,0,0,1,1,1
"p_patient[1,3]",0.46834,0.498997469327164,0.0009110405669616,0.00102110788776668,0,0,0,1,1
"p_patient[1,4]",0.26744,0.442624558124601,0.000808118183302001,0.00148781627172539,0,0,0,1,1
"p_patient[10,1]",0.206036666666667,0.404457790062905,0.000738435517253806,0.000892857652635213,0,0,0,0,1
"p_patient[10,2]",0.33225,0.471020888109635,0.000859962551579214,0.00143834726835321,0,0,0,1,1
"p_patient[10,3]",0.374583333333333,0.484015950798137,0.0008836881814815,0.00118000759630149,0,0,0,1,1
"p_patient[10,4]",0.189766666666667,0.392117063398411,0.000715904536019977,0.00112975528191252,0,0,0,0,1
"p_patient[11,1]",0.0469166666666667,0.211460734198328,0.000386072713823427,0.00044541823254495,0,0,0,0,1
"p_patient[11,2]",0.450403333333333,0.497534919168704,0.000908370327917362,0.00144851345946726,0,0,0,1,1
"p_patient[11,3]",0.539166666666667,0.49846444250808,0.000910067397586374,0.00146616080967541,0,0,1,1,1
"p_patient[11,4]",0.227166666666667,0.419001858505124,0.00076498923179948,0.00127262294223492,0,0,0,0,1
"p_patient[12,1]",0.404533333333333,0.490802321216955,0.000896078342021409,0.000963550870192986,0,0,0,1,1
"p_patient[12,2]",0.79197,0.405899086325934,0.000741066952171502,0.00100781527785295,0,1,1,1,1
"p_patient[12,3]",0.43285,0.495471185646201,0.000904602483240848,0.00138121597534517,0,0,0,1,1
"p_patient[12,4]",0.66822,0.470853236804458,0.000859656463573744,0.00125287356791888,0,0,1,1,1
"p_patient[13,1]",0.280096666666667,0.449046986553608,0.0008198438797171,0.00104811521673201,0,0,0,1,1
"p_patient[13,2]",0.55447,0.497024991872785,0.000907439332308488,0.00183819969041449,0,0,1,1,1
"p_patient[13,3]",0.642346666666667,0.479310121198022,0.000875096551402306,0.00167753633825792,0,0,1,1,1
"p_patient[13,4]",0.195256666666667,0.396398820081877,0.000723721918424252,0.00115994423459746,0,0,0,0,1
"p_patient[14,1]",0.529046666666667,0.499156410035266,0.000911330751665377,0.00099823409308209,0,0,1,1,1
"p_patient[14,2]",0.738903333333333,0.439233241465576,0.000801926514522699,0.00121700502678483,0,0,1,1,1
"p_patient[14,3]",0.371786666666667,0.483282649901644,0.000882349363340007,0.00140110955298738,0,0,0,1,1
"p_patient[14,4]",0.522613333333333,0.499489207878527,0.000911938354618187,0.00151487792353277,0,0,1,1,1
"p_patient[15,1]",0.389236666666667,0.487577969590311,0.000890191508290604,0.0009567573185427,0,0,0,1,1
"p_patient[15,2]",0.80636,0.395150693888086,0.000721443162187746,0.00117766442495976,0,1,1,1,1
"p_patient[15,3]",0.456573333333333,0.498111384804706,0.000909422805358911,0.00104573433269388,0,0,0,1,1
"p_patient[15,4]",0.517983333333333,0.499677327863021,0.000912281813148272,0.00144467030795702,0,0,1,1,1
"p_patient[16,1]",0.90382,0.294838425863486,0.000538298855549152,0.000743870006539328,0,1,1,1,1
"p_patient[16,2]",0.92934,0.256256479510817,0.00046785818111645,0.00057710679939201,0,1,1,1,1
"p_patient[16,3]",0.590323333333333,0.491774848479696,0.000897853925753382,0.00146496760049046,0,0,1,1,1
