"Parameter","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"diff[1]",-1.24590011820282,0.983916412040066,0.00179637737857964,0.00604282161158168,-3.18319578741651,-1.89797718892335,-1.24697801588409,-0.592906709915266,0.691741832936509
"diff[2]",-0.245826919506839,0.966433055004302,0.00176445728181496,0.00633941887324522,-2.15047119985473,-0.883525998030449,-0.247007827124625,0.390228136632172,1.66494287270655
"diff[3]",-1.55469425879839,0.963061061876213,0.00175830089281494,0.00674426779577838,-3.44860735124685,-2.19285831427838,-1.55621386307699,-0.918536976068469,0.355814973752063
"diff[4]",-0.524500835096139,1.08243366558546,0.00197624445214719,0.00495046918293548,-2.65947050687507,-1.23919244625682,-0.525883096566919,0.190959746300284,1.61085904375009
"p[1]",0.0214333333333333,0.14482408456103,0.000264411393280373,0.000439328522949654,0,0,0,0,0
"p[2]",0.00151333333333333,0.0388722033384122,7.09706087612533e-05,9.87685828279642e-05,0,0,0,0,0
"p[3]",0.0390966666666667,0.193825288725949,0.000353874942833846,0.000743709016891248,0,0,0,0,1
"p[4]",0.00712333333333333,0.0840988408418272,0.000153542773963685,0.000184299782989383,0,0,0,0,0
"p_patient[1,1]",0.174786666666667,0.379785161125933,0.000693389665848025,0.00124941484183958,0,0,0,0,1
"p_patient[1,2]",0.120333333333333,0.325351463908605,0.000594007786333569,0.00124651068762651,0,0,0,0,1
"p_patient[1,3]",0.177943333333333,0.382465673042073,0.000698283588655129,0.00126622029210678,0,0,0,0,1
"p_patient[1,4]",0.146943333333333,0.354050007711127,0.00064640391902754,0.000904606070800353,0,0,0,0,1
"p_patient[10,1]",0.658003333333333,0.474379275237173,0.000866094099534505,0.00379870144474176,0,0,1,1,1
"p_patient[10,2]",0.205586666666667,0.404130342290703,0.000737837682149673,0.00206873808126766,0,0,0,0,1
"p_patient[10,3]",0.560883333333333,0.496280203818728,0.000906079541582595,0.00367169930913457,0,0,1,1,1
"p_patient[10,4]",0.70721,0.455043631002223,0.000830792204496583,0.0028166816747473,0,0,1,1,1
"p_patient[11,1]",0.140836666666667,0.347853565928586,0.000635090815892324,0.0010172892633024,0,0,0,0,1
"p_patient[11,2]",0.08333,0.27638083457653,0.000504600058532231,0.000876867041187631,0,0,0,0,1
"p_patient[11,3]",0.20752,0.405531746952886,0.000740396285301908,0.00153495585567309,0,0,0,0,1
"p_patient[11,4]",0.111103333333333,0.31426057954283,0.000573758694500848,0.000723638851892116,0,0,0,0,1
"p_patient[12,1]",0.200293333333333,0.40022049907151,0.000730699317724805,0.00152736956446435,0,0,0,0,1
"p_patient[12,2]",0.0465066666666667,0.210580019079139,0.000384464755365042,0.000543898381846984,0,0,0,0,1
"p_patient[12,3]",0.112303333333333,0.315739808958229,0.000576459385562646,0.00093689381871714,0,0,0,0,1
"p_patient[12,4]",0.01909,0.136841639564794,0.000249837509318764,0.000271243258443009,0,0,0,0,0
"p_patient[13,1]",0.459893333333333,0.498389690165403,0.000909930919105339,0.00299281759475476,0,0,0,1,1
"p_patient[13,2]",0.185416666666667,0.388635857646102,0.000709548752960456,0.0018546808078668,0,0,0,0,1
"p_patient[13,3]",0.214356666666667,0.41037598307371,0.000749240609959432,0.00222143745123107,0,0,0,0,1
"p_patient[13,4]",0.227083333333333,0.418947583967831,0.000764890140504902,0.00163499201972792,0,0,0,0,1
"p_patient[14,1]",0.319933333333333,0.466451198745691,0.000851619478427801,0.00253024064153978,0,0,0,1,1
"p_patient[14,2]",0.22969,0.420634156574307,0.000767969386709694,0.00221162643018222,0,0,0,0,1
"p_patient[14,3]",0.378763333333333,0.485079843940224,0.000885630575723821,0.00289209334146186,0,0,0,1,1
"p_patient[14,4]",0.240376666666667,0.427312922158146,0.000780163088598219,0.0019082406442543,0,0,0,0,1
"p_patient[15,1]",0.217213333333333,0.412349691317675,0.00075284409171661,0.00153435315565863,0,0,0,0,1
"p_patient[15,2]",0.0287933333333333,0.167225507933022,0.000305310609617251,0.000420950331594756,0,0,0,0,1
"p_patient[15,3]",0.32408,0.468030857718035,0.000854503527935528,0.00260155570648208,0,0,0,1,1
"p_patient[15,4]",0.316813333333333,0.465234743579459,0.000849398545312005,0.00151966887048642,0,0,0,1,1
"p_patient[16,1]",0.30879,0.461995072879381,0.0008434837429076,0.00206880225541665,0,0,0,1,1
"p_patient[16,2]",0.0635966666666667,0.244033459106164,0.000445542101128201,0.000737108332747512,0,0,0,0,1
"p_patient[16,3]",0.31713,0.465359307379022,0.000849625966654903,0.00225298305306946,0,0,0,1,1
"p_patient[16,4]",0.5406,0.498349744498338,0.00090985798862892,0.00225374568756692,0,0,1,1,1
